Year,Crime Type ID,Crime Type,State ID,State,Value
2015,203,Violencia Familiar,1,Aguascalientes,962
2015,203,Violencia Familiar,2,Baja California,17784
2015,203,Violencia Familiar,3,Baja California Sur,3382
2015,203,Violencia Familiar,4,Campeche,36
2015,203,Violencia Familiar,5,Coahuila de Zaragoza,4308
2015,203,Violencia Familiar,6,Colima,1098
2015,203,Violencia Familiar,7,Chiapas,2502
2015,203,Violencia Familiar,8,Chihuahua,24546
2015,203,Violencia Familiar,9,Ciudad de México,32154
2015,203,Violencia Familiar,10,Durango,7042
2015,203,Violencia Familiar,11,Guanajuato,20596
2015,203,Violencia Familiar,12,Guerrero,4044
2015,203,Violencia Familiar,13,Hidalgo,4588
2015,203,Violencia Familiar,14,Jalisco,16764
2015,203,Violencia Familiar,15,Estado de México,9444
2015,203,Violencia Familiar,16,Michoacán de Ocampo,1842
2015,203,Violencia Familiar,17,Morelos,8068
2015,203,Violencia Familiar,18,Nayarit,596
2015,203,Violencia Familiar,19,Nuevo León,34124
2015,203,Violencia Familiar,20,Oaxaca,1236
2015,203,Violencia Familiar,21,Puebla,10048
2015,203,Violencia Familiar,22,Querétaro,1884
2015,203,Violencia Familiar,23,Quintana Roo,6116
2015,203,Violencia Familiar,24,San Luis Potosí,5848
2015,203,Violencia Familiar,25,Sinaloa,4774
2015,203,Violencia Familiar,26,Sonora,4462
2015,203,Violencia Familiar,27,Tabasco,8460
2015,203,Violencia Familiar,28,Tamaulipas,4788
2015,203,Violencia Familiar,29,Tlaxcala,48
2015,203,Violencia Familiar,30,Veracruz de Ignacio de la Llave,7144
2015,203,Violencia Familiar,31,Yucatán,4316
2015,203,Violencia Familiar,32,Zacatecas,1470
2015,204,Otros Delitos contra la Familia,1,Aguascalientes,126
2015,204,Otros Delitos contra la Familia,2,Baja California,216
2015,204,Otros Delitos contra la Familia,3,Baja California Sur,108
2015,204,Otros Delitos contra la Familia,4,Campeche,2
2015,204,Otros Delitos contra la Familia,5,Coahuila de Zaragoza,530
2015,204,Otros Delitos contra la Familia,6,Colima,0
2015,204,Otros Delitos contra la Familia,7,Chiapas,4
2015,204,Otros Delitos contra la Familia,8,Chihuahua,8
2015,204,Otros Delitos contra la Familia,9,Ciudad de México,1974
2015,204,Otros Delitos contra la Familia,10,Durango,282
2015,204,Otros Delitos contra la Familia,11,Guanajuato,0
2015,204,Otros Delitos contra la Familia,12,Guerrero,152
2015,204,Otros Delitos contra la Familia,13,Hidalgo,0
2015,204,Otros Delitos contra la Familia,14,Jalisco,2606
